58321,合肥
58424,安庆
58102,亳州
58221,蚌埠
58236,滁州
58427,池州
58203,阜阳
58116,淮北
58224,淮南
70931,黄山
58311,六安
58336,马鞍山
58122,宿州
58429,铜陵
58334,芜湖
58433,宣城
58847,福州
71415,钓鱼岛
58927,龙岩
58834,南平
58846,宁德
58946,莆田
59131,泉州
58828,三明
59134,厦门
59126,漳州
52889,兰州
56080,甘南
60472,陇南
52896,白银
52995,定西
52675,金昌
52533,酒泉
71129,嘉峪关
52984,临夏
53915,平凉
53923,庆阳
57006,天水
52679,武威
52652,张掖
59287,广州
59312,潮州
59289,东莞
59288,佛山
59293,河源
59297,惠州
59473,江门
59315,揭阳
59109,梅州
59659,茂名
59280,清远
59493,深圳
59316,汕头
59082,韶关
59501,汕尾
59663,阳江
59471,云浮
59488,珠海
59485,中山
59658,湛江
59278,肇庆
59431,南宁
59644,北海
59211,百色
59425,崇左
59635,防城港
57957,桂林
59249,贵港
59065,贺州
59023,河池
59046,柳州
59242,来宾
59632,钦州
59265,梧州
59453,玉林
57816,贵阳
57827,黔南
57825,黔东南
57806,安顺
57707,毕节
56693,六盘水
70148,黔西南
57741,铜仁
57713,遵义
59758,海口
59848,白沙
59945,保亭
59843,澄迈
59847,昌江
59845,儋州
59851,定安
59838,东方
59842,临高
59954,陵水
59940,乐东
59855,琼海
59849,琼中
59948,三亚
71444,三沙
59854,屯昌
59856,文昌
59951,万宁
60651,五指山
53698,石家庄
54602,保定
54423,承德市
54616,沧州
54702,衡水
53892,邯郸
54515,廊坊
54449,秦皇岛
54534,唐山
53798,邢台
54401,张家口
57083,郑州
53898,安阳
53990,鹤壁
53982,焦作
53978,济源
57091,开封
57073,洛阳
57186,漯河
57178,南阳
54900,濮阳
71128,平顶山
57051,三门峡
58005,商丘
53986,新乡
57089,许昌
57297,信阳
57195,周口
57290,驻马店
50953,哈尔滨
50842,大庆
50442,大兴安岭
50775,鹤岗
50468,黑河
50873,佳木斯
50978,鸡西
54094,牡丹江
50745,齐齐哈尔
50973,七台河
50884,双鸭山
50853,绥化
50774,伊春
57494,武汉
57496,鄂州
57447,恩施
58407,黄石
57498,黄冈
57476,荆州
57377,荆门
57475,潜江
57252,十堰
57381,随州
57362,神农架
57483,天门
57278,襄阳
57482,孝感
57590,咸宁
57485,仙桃
57461,宜昌
57687,长沙
60011,湘西
57662,常德
57972,郴州
57872,衡阳
57749,怀化
57763,娄底
